CaterpillarG3608-Cyl8-2018-09-10 00:15:12,CaterpillarG3608-Cyl8-2018-09-10 00:17:21,CaterpillarG3608-Cyl8-2018-09-10 00:20:05,CaterpillarG3608-Cyl8-2018-09-10 00:21:57,CaterpillarG3608-Cyl8-2018-09-10 00:23:40,CaterpillarG3608-Cyl8-2018-09-10 00:25:42,CaterpillarG3608-Cyl8-2018-09-10 00:27:20,CaterpillarG3608-Cyl8-2018-09-10 00:29:15,CaterpillarG3608-Cyl8-2018-09-10 00:30:49,CaterpillarG3608-Cyl8-2018-09-10 00:32:40,CaterpillarG3608-Cyl8-2018-09-10 00:34:23,CaterpillarG3608-Cyl8-2018-09-10 00:35:55,CaterpillarG3608-Cyl8-2018-09-10 00:37:38,CaterpillarG3608-Cyl8-2018-09-10 00:39:21,CaterpillarG3608-Cyl8-2018-09-10 00:40:56
0.175960837,0.226001503,0.205187127,0.209927034,0.195013223,0.188987142,0.229398612,0.20611673,0.193851518,0.217627726,0.218773713,0.214014498,0.219025734,0.248778415,0.21313114
0.201650712,0.227827194,0.186306367,0.189432368,0.217383355,0.183202104,0.196078305,0.203657539,0.189617644,0.200072717,0.21626317,0.194186987,0.211042158,0.249620496,0.210432061
0.203446043,0.218172542,0.217712655,0.18786921,0.17907133,0.194624642,0.179704619,0.20476569,0.206416494,0.207217087,0.221848432,0.196334393,0.210648745,0.236412373,0.228476393
0.19952952,0.212660172,0.21109091,0.179389751,0.175953309,0.246080133,0.201447093,0.22010295,0.200596058,0.215831953,0.192968703,0.219116127,0.230102065,0.234744316,0.215869459
0.179241324,0.220218015,0.207463949,0.196404844,0.209545986,0.251962885,0.182921657,0.215052635,0.21107247,0.225133901,0.200728361,0.22505435,0.23516551,0.233365328,0.179298466
0.208721582,0.2042108,0.203065588,0.208034698,0.204435323,0.211273887,0.177108861,0.197040966,0.21759985,0.217074966,0.204971364,0.221605907,0.223579717,0.249854043,0.184665815
0.217228485,0.213997574,0.211535484,0.220246589,0.194016379,0.216557732,0.187126048,0.200168785,0.214545402,0.20215516,0.201522016,0.182705287,0.211364033,0.254929895,0.192521901
0.202282811,0.227229273,0.217534703,0.231971977,0.203092371,0.228707184,0.199916188,0.220163239,0.210602186,0.200106593,0.200547475,0.182142239,0.221260002,0.236580094,0.187063509
0.208889028,0.188452778,0.216646884,0.18711929,0.210812645,0.216278135,0.167681478,0.219247056,0.209590009,0.207107339,0.195241798,0.216435876,0.211056499,0.226515739,0.199769962
0.206751554,0.182564569,0.213725251,0.195290413,0.232827758,0.197045824,0.168462102,0.199122454,0.202672566,0.196180169,0.218377174,0.189272343,0.200529468,0.25198386,0.186812582
0.19059908,0.220496808,0.205335377,0.205205768,0.205398138,0.169846895,0.227385423,0.201601937,0.229181362,0.179807394,0.202393633,0.238635059,0.213365312,0.226661694,0.20460915
0.201545783,0.208082428,0.231551484,0.211417923,0.205063752,0.16427802,0.196046932,0.210602161,0.233446368,0.185358989,0.175065276,0.228156628,0.218896811,0.208361822,0.210139491
0.194125657,0.181260351,0.217823668,0.203865959,0.198962693,0.195632588,0.18556949,0.198041906,0.1983942,0.177628367,0.186572507,0.205266022,0.229087257,0.207915816,0.200031076
0.207275096,0.200958795,0.205944477,0.192864753,0.214923879,0.20980095,0.184224625,0.196517021,0.186170277,0.213760819,0.225616982,0.206662638,0.216726026,0.21808134,0.206957389
0.203532255,0.199415919,0.21234043,0.194423885,0.225861836,0.204501022,0.183906146,0.215226332,0.189145964,0.193113622,0.237971061,0.229815247,0.228049444,0.210736699,0.189175969
0.193267382,0.222474417,0.215556029,0.217524392,0.20176173,0.191912892,0.20681016,0.218169466,0.207643167,0.189632192,0.221749322,0.214258767,0.220475414,0.20607515,0.207333117
0.188392006,0.226287951,0.208082048,0.194922494,0.204021498,0.215385353,0.219381184,0.182439038,0.211503699,0.192222833,0.218491957,0.203442514,0.20319541,0.219605923,0.216423509
0.181614342,0.211886119,0.203497651,0.189337523,0.202160095,0.227987787,0.230985573,0.175827352,0.226033811,0.202399868,0.219398342,0.209011829,0.217359397,0.202440689,0.218552594
0.19356586,0.194606186,0.191304198,0.185072655,0.187112072,0.208651063,0.242854837,0.191563998,0.200143563,0.194126569,0.218250147,0.188100861,0.213536968,0.209220721,0.200064701
0.206134739,0.209165343,0.204080632,0.183583273,0.202059612,0.210086204,0.1967999,0.190549965,0.185183687,0.168722465,0.225167394,0.206565481,0.20052403,0.215703013,0.194518952
0.198963407,0.206753002,0.214283333,0.193723893,0.203587697,0.211168255,0.195229091,0.19082921,0.210583214,0.185732886,0.231962773,0.253492657,0.23442084,0.24550953,0.211710104
0.207266051,0.221636252,0.210494815,0.198643033,0.212328985,0.203221379,0.200240447,0.188063979,0.215786851,0.212090333,0.226403012,0.238075745,0.224018382,0.204891336,0.202797589
0.225434387,0.234183166,0.207279751,0.205981359,0.205006462,0.181821494,0.20667248,0.188708317,0.214594867,0.211268445,0.23316041,0.214883863,0.187929063,0.193017992,0.212146474
0.229463656,0.213585288,0.206925641,0.208522768,0.209397097,0.201560648,0.206877854,0.195233794,0.199398552,0.21719667,0.215815111,0.203392584,0.186234248,0.192658745,0.198122339
0.221698051,0.195212129,0.221543403,0.197648525,0.200390569,0.186737242,0.212269453,0.210492844,0.178183491,0.207652776,0.205588412,0.215280657,0.205096124,0.181229859,0.211014737
0.21882476,0.211483734,0.237307774,0.208116094,0.185519959,0.191297649,0.206467641,0.205175365,0.195521311,0.203463972,0.212312516,0.219348537,0.219301905,0.200447634,0.209649148
0.227140945,0.211049527,0.233895243,0.200753814,0.178366027,0.192760578,0.216503802,0.227060294,0.179919067,0.196330153,0.207327764,0.200453371,0.209402919,0.206864082,0.196965744
0.213028338,0.195223375,0.228354959,0.182874461,0.176929075,0.180596087,0.208784383,0.212097223,0.186587351,0.197230736,0.212322807,0.203272191,0.226769364,0.20844711,0.198355233
